mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__class_weight,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.595048475265503,0.7797782757848056,1.5103795528411865,0.15841462786405408,balanced,,1,100,"{'rf__class_weight': 'balanced', 'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 100}",0.9986566498563152,0.9959872415845006,1.0,0.9973190778294597,0.9933118929902878,0.9970549724521127,0.002300391378808348,25
11.497870302200317,0.1763521125423624,2.366953134536743,0.3886640224817299,balanced,,1,200,"{'rf__class_weight': 'balanced', 'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 200}",0.9986566498563152,0.9959872415845006,1.0,0.9979871442338013,0.9933118929902878,0.997188585732981,0.0023310483699224196,1
31.38770637512207,0.7491006985450227,1.5947092533111573,0.8847637601321231,balanced,,1,500,"{'rf__class_weight': 'balanced', 'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 500}",0.9986566498563152,0.9966524453642414,0.9993276000016083,0.9979871442338013,0.9933118929902878,0.9971871464892509,0.002129998720655691,13
9.347769212722778,2.0157058516490522,1.409637451171875,0.6443988420543957,balanced,,2,100,"{'rf__class_weight': 'balanced', 'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 100}",0.9986566498563152,0.9966524453642414,1.0,0.9973190778294597,0.9933118929902878,0.9971880132080608,0.0022535519570482995,5
10.296030235290527,1.6561941811244867,2.6186347007751465,0.5980070579695622,balanced,,2,200,"{'rf__class_weight': 'balanced', 'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 200}",0.9986566498563152,0.9966524453642414,0.9993276000016083,0.9979871442338013,0.9933118929902878,0.9971871464892509,0.002129998720655691,13
31.418475341796874,0.9432657690600956,1.686327075958252,0.40473149150432586,balanced,,2,500,"{'rf__class_weight': 'balanced', 'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 500}",0.9986566498563152,0.9966524453642414,0.9993276000016083,0.9979871442338013,0.9933118929902878,0.9971871464892509,0.002129998720655691,13
9.367847204208374,3.2097823079503653,1.2990591049194335,0.6778593766085509,balanced,,5,100,"{'rf__class_weight': 'balanced', 'rf__max_depth': None, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 100}",0.9979871442338013,0.9959872415845006,0.9993276000016083,0.9959872415845006,0.9933118929902878,0.9965202240789395,0.0020442477034393783,39
9.608207035064698,1.8472638016498517,2.5405460357666017,0.8263754450822434,balanced,,5,200,"{'rf__class_weight': 'balanced', 'rf__max_depth': None, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 200}",0.9979871442338013,0.9959786167441895,0.9993276000016083,0.9959872415845006,0.9933118929902878,0.9965184991108774,0.00204470030337888,43
30.949208068847657,0.42530248187286124,1.9710246086120606,0.3012242481401543,balanced,,5,500,"{'rf__class_weight': 'balanced', 'rf__max_depth': None, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 500}",0.9979871442338013,0.9959786167441895,0.9986566498563152,0.9959786167441895,0.9933118929902878,0.9963825841137567,0.0018709094808363436,49
9.393989276885986,2.6744085563677005,1.8132352352142334,1.0231941527503652,balanced,10,1,100,"{'rf__class_weight': 'balanced', 'rf__max_depth': 10, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 100}",0.9979828000048246,0.9966524453642414,0.9993276000016083,0.9979871442338013,0.9933118929902878,0.9970523765189526,0.0020526705725242437,33
10.483722162246703,1.2242348516942507,2.3990554332733156,0.462439136551447,balanced,10,1,200,"{'rf__class_weight': 'balanced', 'rf__max_depth': 10, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 200}",0.9986566498563152,0.9959872415845006,1.0,0.9973190778294597,0.9939742430122762,0.9971874424565105,0.002090526775341226,11
30.59707131385803,0.7362187986546248,1.4012001037597657,0.22962947860025154,balanced,10,1,500,"{'rf__class_weight': 'balanced', 'rf__max_depth': 10, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 500}",0.9979871442338013,0.9966524453642414,0.9993276000016083,0.9979871442338013,0.9933118929902878,0.9970532453647479,0.0020530650958862037,31
8.673681783676148,1.7405487014953296,1.5755366802215576,0.8343492362234471,balanced,10,2,100,"{'rf__class_weight': 'balanced', 'rf__max_depth': 10, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 100}",0.9986566498563152,0.9966524453642414,1.0,0.9973190778294597,0.9933118929902878,0.9971880132080608,0.0022535519570482995,5
9.936316299438477,0.53142470298142,1.3885310173034668,0.483004484629154,balanced,10,2,200,"{'rf__class_weight': 'balanced', 'rf__max_depth': 10, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 200}",0.9979871442338013,0.9966524453642414,1.0,0.9973190778294597,0.9933118929902878,0.9970541120835581,0.0021810342203445934,29
30.40076141357422,0.1861510614121756,1.4089019775390625,0.0708994008493251,balanced,10,2,500,"{'rf__class_weight': 'balanced', 'rf__max_depth': 10, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 500}",0.9979871442338013,0.9966524453642414,0.9993276000016083,0.9966524453642414,0.9933118929902878,0.996786305590836,0.002000378502585813,35
9.877753639221192,1.5908144379819804,1.2092408657073974,0.6280203670253853,balanced,10,5,100,"{'rf__class_weight': 'balanced', 'rf__max_depth': 10, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 100}",0.9986566498563152,0.9959872415845006,0.9986566498563152,0.9966524453642414,0.9933118929902878,0.996652975930332,0.0019816889824745133,37
