Feature,MDI_Importance,MDI_Std,Perm_Importance,Perm_Std,Rank_MDI,Rank_Perm
RFC,0.34715769692886,0.3037946222775861,0.04126285068845923,0.0028398653334256382,1,3
CBO,0.2881898859019415,0.17861246926640487,0.24204129826490922,0.0037948607781756053,2,1
WMC,0.17178991316862954,0.19655506996520727,0.05193630143554525,0.002927656976636729,3,2
LOC,0.09205502106250145,0.15004978572971756,0.040824768454513556,0.0013253486120437567,4,4
NOM,0.08352231405973334,0.125642457513308,0.024399482778285606,0.0026165548668141783,5,5
LCOM,0.007357498194866489,0.020621174179440985,-0.00048172183663461874,0.0001605739455448729,6,7
NOC,0.006153196162098121,0.012409885071794623,-0.0004995633861396046,0.0001335139309936467,7,9
TCC,0.003229138082280422,0.007246686406763139,-0.00048172183663461874,0.0001605739455448729,8,7
DIT,0.0005453364390891448,0.0007979483136659878,0.0,0.0,9,6
