Feature,Mean_Abs_SHAP
CBO,0.18699624687777835
RFC,0.15732334321221828
WMC,0.07906025470216456
LOC,0.041529945435550185
NOM,0.03910604304719059
LCOM,0.007560529030389236
TCC,0.002990595432683893
NOC,0.0022912412301225073
DIT,0.00035744872805887036
